	English	Proto-form	Under	Type
uugnar(aq)		u!9u!na3	u!9u!	base
uulegte-		u&ul0!-		base
uumi(yug)-		u!umi-		base
uunglekar-		u!u&ila3- 	u!u-	base
uuqnarqe-		u!uqna3- 	u!u-	base
uurcara-		u!!u3-		base
uute-		u!ut- 	u!u-	base
uutuk		uutuk		base
uuvlaag-		u!u&ila3-	u!u-	base
uvaa-		uv0(C)a- 	uv03-	base
uver-		0v03-		base
uyalek		uyal0k 	uya(qu3)	base
uyamik		uyami! 	uya(qu3)	base
uyangte-		uya!-		base
uyaquq		uya(qu3)		base
uyatu-		uyatu-		base
uyakite-		uyatu-		base
uyiqe-		uyiq0-		base
uyive-		uyiv0-		base
uyte-		uyt0-		base
uyug-		uyu!-		base
uyunge-		uyu&0-		base
uyuraq		uyu3a3		base
vegtaq		0v0!ta3	 0v0!	base
vek		0v0!		base
wa-		uvva		base
waten		!wat0n	uvva	base
watna-		!wat0n	uvva	base
wayar-		ivaya3-	iva3-	base
wii		uva&a		base
yaaliagni		i&a(va)-		base
yaani		i&a(va)-		base
yaaqvani		i&a(va)-		base
yaate-		i&an		base
yagneq		iya!n03	iya!-	base
yagte-		iya!-		base
yaqiur-		iyaqqi-	iya!-	base
yaqulek		iyaqu3		base
yaquq		iyaqu3		base
yave-		yav0-		base
yavun		yavun	yav0-	base
yiite-		i&&it- 	i&u!	base
yitaar-		i&ut-²		base
yit’e-		i&&it-		base
yuar-		iva3-		base
yuaraq		i&u!a3	i&u!	base
yugaq		yu!u(C)aq	i&u!	base
yugnirqe-		i&u!ni3-	i&u!	base
yugte-		yu!t0- 	i&u!	base
yugyag-		i&u!ya!- 	i&u!	base
yukutaq		iyukuta(3)		base
yuinaq		i&u!inna3 	i&u!	base
yuinaunritaraan		yuinaun3ita3(aq)	i&u!	base
yuinaunrita’ar		yuinaun3ita3(aq)	i&u!	base
yuk		i&u!		base
cuk		i&u!		base
yungaq		iyu&&a3		base
yungcar-		yu&ca3-	i&u!	base
yup’ik		i&upi!	i&u!	base
yuqerte-		yuqa3-	iyyu3-	base
yurar-		yu3$a3-		base
yurvir-		iyuv3i3-		base
yuu-	(live)	i&u!u-	i&u!	base
yuu-	(get or put in)	ni!u-		base
yuuciq		i&uci3	i&u!	base
yuukaq		i&(0)yuka3		base
yuunerrar(aq)		yu(u)n3aq	i&u!	base
yuurqaq		ni9u3qa3	ni9u3-	base
yuurrmiur-		ni9u3-		base
yuvgeq		n0v!u3		base
yuvrir-		iyuv3i3-		base
