	English	Proto-form	Under	Type
asveq		ayv03		base
ata	(father)	ata¹		base
ata	(listen)	ata²		base
ata-		ata-		base
ataata		ata(a)ta		base
ataku		ataku	ata²	base
ataneq		atan03	ata-	base
ataucikun		ata3uccikun	ata3uci3	base
atauciq		ata3uci3		base
ate-		at0-		base
ategtu-		at0tu-	at(0)-	base
ateq		at03		base
ater-		at03-	at(0)-	base
aterte-		at03t0-	at(0)-	base
atgiaq		at!iyaq		base
atkuk		at0k0		base
atliq		atli3	at(0)-	base
atmak		natma!-		base
atneq		atn0q	at(0)-	base
atrar-		at3a3-	at(0)-	base
atrilnguq		at3il&uq	at03	base
atsaq		atya3		base
atunem		atun0m		base
atungar		atu&a3		base
atur-		atu3-		base
atuun		atu(3)un	atu3-	base
au-		avu-		base
a¥’ar-		av(v)a3(i3)-		base
a¥’arite-		av(v)a3(i3)-		base
a¥tar-		a!wa3-		base
augyaq		a9u!ya3	a9u!	base
auk		a9u!		base
auluke-		a(C)uluk0-		base
aumaq		a(C)uma3		base
aunrar-		a9un(0)3a3-	a9u!	base
aur-		avu3-		base
aurre-		a9u3-		base
avaliq		avali3-		base
avaq		av9a3		base
avaqutaq		avaqutaq		base
avataq		avata3		base
avate-	(choke)	ava-		base
avate-	(area around)	avan		base
avaur-		ava(C)u3-		base
avayaq		avayaq		base
avcellngaq		av0l&a3		base
aveg-		av0!-		base
avek		av0!-		base
avelngaq		av0l&a3		base
avgur-		av!u3-	av0!-	base
aviraute-		av9i3-	av9a3-	base
avirlurte-		avi(3)lu3-		base
avite-		a!wit0-		base
aviu-		avi3u-		base
avler-		avl03-		base
avnguq		av(0)&uq		base
avte-		av0t-	av0!-	base
avu-		avu-		base
avur-		avu3-		base
ayag-		aya!-		base
ayagaq		aya!a3-	aya!-	base
ayagta		aya!ta	aya!-	base
ayagtuutaq		aya!tu3-	aya!-	base
ayakutar(aq)		ayakutaq	aya!-	base
ayallaq		a@ayaq		base
ayalur-		ayalu(3)-		base
ayalua-		ayalu(3)-		base
ayani-		ayani(3)-		base
ayaper-		ayap03-	aya!-	base
ayari-		aya3i-		base
ayarr’aq		aya3a3a3		base
ayaruq		aya3u3	aya!-	base
ayaun		aya!un	aya!-	base
ayeme-		ay0m0-		base
ayi-		ayi-		base
ayu-		ayu-		base
ayuqe-		ayuq0-		base
ayuqucirtur-		ayuquci3tu3-	ayuq0-	base
ayute-		ayut-	ayu-	base
ca-		cu(na)		base
caaganeq		ci(9)a!an03		base
saaganeq		ci(9)a!an03		base
caarrluk		cu3uyuk		base
caavte-		cav0t-		base
caayuryaq		caayu3(y)aq		base
cacetu-		tat0		base
cagiq		ca!iq		base
cagmar-		ci9a!ma(3)-	ci9a!-	base
cagner-		ca!n03-		base
cagni-		ca!ni-		base
cagte-		ci9a!-		base
caite-		cu(na)&it-	cu(na)	base
caiggluk		ca90!(i3)		base
caggluk		ca90!(i3)		base
cakiak		caki(C)a3		base
cakiq		caki		base
cakiraq		caki3a3	caki	base
cakite-		caki(t0)-		base
cakivte-		cak0v0t-		base
cakuug-		cak0v0t-		base
calaraq		cala3aq		base
cali		cu(na)li	cu(na)	base
cali-		cu(na)li-	cu(na)	base
calla-		ca@a-		base
calligte-		ca@i!-¹		base
callmak		ca@mak		base
caltur-		tat(0)tu3-		base
calugte-		calu!-		base
camataq		camataq		base
cana-		cana(3)-		base
canar-		cana(3)-		base
canek		can0!		base
cangag-		ca&a!-		base
can’ggete-		can0!(0)t-		base
cangigar-		ca&i!-		base
cangimirte-		ca&immi3-		base
cangu-		ca&u-		base
cangur-		ca&u3-		base
cani-		cani-		base
caniqaq		caniqa3	cani-	base
canir-	(sweep)	cani3-		base
canir-	(on side)	canni3-		base
canirun		canniqun	cani-	base
caniurtaq		cani&u3taq	cani-	base
canivar-		caniva3-	cani-	base
can’u-		can(n)u-		base
capa		cap0-		base
cape-		cap0-		base
caperrnarqe-		cap03na3-		base
capir-		capi3-	cap0-	base
capun		cap(p)un	cap0-	base
caqelngataq		caq0l0kita3		base
caqete-		caq0-²		base
caqir-		caq0-¹		base
caqu		caqu-²		base
caqu-		caqu-²		base
caqvir-		caqvi3-	caqvi!	base
carayak		ca3ayak		base
cariar-		ca3ia3-		base
carliaq		ca3li!a3		base
carumik		ca3umi!		base
carvaq		ca3va3		base
casguq		ca90!u3		base
caskuk		ca9ku		base
cate		cat0		base
cau-		ca(C)u-		base
cauyaq		ca!uyaq		base
cave-		yav0-		base
save-		yav0-		base
caveg-		cava!-		base
cavek		cave!		base
cavik		cavi!		base
cavte-		cav0t-		base
cavun		yavun	yav0-	base
savun		yavun	yav0-	base
cayak		cayak		base
sayak		cayak		base
cayaq		caya(!)		base
cayurte-		cayu3-		base
ceg-		ci90!-		base
cegg’ar-		0s!a3(a3)-	090	base
cella		cila		base
cellai3ute-		cila&i3ut0-	cila	base
cellaite-		cila&it-	cila	base
cellakegci-		cilaki!-	cila	base
cellalluk		cila@u!	cila	base
celleg-		cil0!-¹		base
celli-		cili-		base
cellin		cillin	cili-	base
cellur-		cilu3-		base
cen⁄a		cin0		base
cena		cin0		base
ceng’ur-		ci&u3-		base
seng’ur-		ci&u3-		base
cen⁄iqqaq		c0niq	cin0	base
cen⁄irte-		cini3-		base
cenkutaq		cinkuta!		base
ceq		09i3		base
ceqcaaq		c0qtaaq		base
ceqcerte-		c0qtaaq		base
ceqpilinaq		ceqtaaq		base
ceremraq		cu3(0)m03aq		base
ceryirpak		ci3u39u!		base
cetaaq		ceqtaaq		base
cetaman		citamat		base
cetegtaq		cit0(!)-		base
cetengqite-		cit0(!)-		base
ceter-		t0t03-		base
cetu-		citu-		base
cetuaq		citu(C)a3		base
cetuk		cituk		base
cetumquq		citumquq	cituk	base
cetur-		cittu3-		base
cevak		civ(v)a3-		base
ceve-		civ0-		base
cevvarte-		civ(v)a3-		base
ciame-		ci9am0(t)-		base
ciamruq		ci9am3uq	ci9am0(t)-	base
ciguq		ci!uq		base
cigur(aq)		ci!uq		base
cigvik		ci!vik		base
cii-		ci!i-		base
ciikar-		0t0!(ta3)-		base
ciilavik		ciilavik		base
ciilerte-		ci(!)il03t0-	ci!i-	base
ciilmak		ca!0lmak		base
ciilqaaq		ciilqaaq		base
ciilraq		ciil3aq	ci!i-	base
ciin		ca&an	cu(na)	base
ciiq		cii(3)		base
ciisqumig-		ci!09qumi!-	ci!09qu3	base
ciisquq		ci!09qu3		base
ciivak		ciivak		base
cikaaq		cikaaq		base
cikaar(aq)		cikaaq		base
cikete-		cik0(t)-		base
cikik		cik9i!		base
cikir-		ciki3-		base
ciklaq		cikla3		base
cikme-		cikmi3-		base
cikmir-		cikmi3-		base
cikna-		cikna-		base
ciku		ciku		base
cikuaq		ciku(C)a3	ciku	base
cikuir-		ciku&i3-	ciku	base
cikuq		ciku3		base
cilluvak		ci@uva!		base
cimir-		cimmi3-		base
cingar-		ci&a3-		base
cinge-		ci&0(t)-		base
cingik		ci&i!		base
cingilek		ci&il0k	ci&ik	base
cingilegaq		ci&il0k	ci&ik	base
cingilleq		ci&i@0q	ci&i3	base
cingiq		ci&i3		base
cingqe-		ci&qu3-		base
cingyaaq		ci&9a(C)a3		base
cin’aq		cin(n)aq		base
cipegte-		cip0(!)-		base
cipete-		cip0(t)-		base
cipsaq		cipya3		base
ciqi-		ciq03-		base
ciqineq		ciqin03		base
ciqite-		ciq(q)it-	ciq03-	base
ciqpag-		ciqpa!-	ciq03-	base
